discount,color,Amount spent
Minus,Red,76.7214562
Minus,Red,62.00280491
Minus,Red,96.18495079
Minus,Red,71.58707216
Minus,Red,75.4473225
Minus,Red,80.4326569
Minus,Red,63.88114634
Minus,Red,65.30698269
Minus,Red,65.12993327
Minus,Red,77.38000868
Minus,Red,52.14801956
Minus,Red,76.71720814
Minus,Red,70.77912333
Minus,Red,54.58633101
Minus,Red,69.02687048
Minus,Red,64.25234563
Minus,Red,27.44671268
Minus,Red,59.3037648
Minus,Red,51.1713012
Minus,Red,88.36379696
Minus,Red,68.73323135
Minus,Red,83.90547479
Minus,Red,44.47274851
Minus,Red,73.74022668
Minus,Red,38.34212779
Minus,Red,49.56712426
Minus,Red,61.40721447
Minus,Red,81.52010038
Minus,Red,79.72674814
Minus,Red,82.69863143
Minus,Red,46.58203986
Minus,Red,58.17080805
Minus,Red,95.72377367
Minus,Red,68.6564028
Minus,Red,64.31383323
Minus,Red,82.68746703
Minus,Red,89.96719497
Minus,Red,59.56834522
Minus,Red,57.57033454
Minus,Red,51.38424464
Minus,Red,57.69311261
Minus,Red,84.71339045
Minus,Red,65.27827184
Minus,Red,77.50902978
Minus,Red,85.35650283
Minus,Red,65.45896154
Minus,Red,75.15105313
Minus,Red,96.52204196
Minus,Red,89.85774206
Minus,Red,53.35374745
Minus,Black,86.1528439
Minus,Black,64.36393207
Minus,Black,91.79829855
Minus,Black,74.05460237
Minus,Black,75.03337501
Minus,Black,80.70203321
Minus,Black,75.83091394
Minus,Black,94.18041706
Minus,Black,56.5634103
Minus,Black,66.53465917
Minus,Black,90.73091409
Minus,Black,71.83192069
Minus,Black,68.21825141
Minus,Black,82.68272516
Minus,Black,81.68160903
Minus,Black,75.946694
Minus,Black,83.3112295
Minus,Black,81.47829095
Minus,Black,59.26879088
Minus,Black,91.67374538
Minus,Black,69.34726351
Minus,Black,62.53451571
Minus,Black,73.08999019
Minus,Black,79.55086598
Minus,Black,73.67104228
Minus,Black,67.71686259
Minus,Black,58.87430997
Minus,Black,79.85976999
Minus,Black,87.03453412
Minus,Black,68.62288737
Minus,Black,73.19538527
Minus,Black,65.21205176
Minus,Black,79.25009441
Minus,Black,69.34643112
Minus,Black,69.44959288
Minus,Black,87.22999336
Minus,Black,58.97013996
Minus,Black,71.88632455
Minus,Black,96.30509279
Minus,Black,78.55914286
Minus,Black,67.45562161
Minus,Black,80.01959722
Minus,Black,80.84197773
Minus,Black,92.11485591
Minus,Black,57.77531218
Minus,Black,83.97456016
Minus,Black,75.7918204
Minus,Black,74.40211076
Minus,Black,77.88597309
Minus,Black,81.30914306
Minus,Green,52.22188422
Minus,Green,44.77179456
Minus,Green,83.62579435
Minus,Green,59.40594174
Minus,Green,53.43393139
Minus,Green,50.89638627
Minus,Green,43.56812601
Minus,Green,54.51036319
Minus,Green,38.27815039
Minus,Green,65.88796335
Minus,Green,73.57300968
Minus,Green,53.07263606
Minus,Green,66.18336502
Minus,Green,56.44532936
Minus,Green,56.60765808
Minus,Green,37.81494052
Minus,Green,54.37755515
Minus,Green,66.64967697
Minus,Green,50.84886959
Minus,Green,58.55102862
Minus,Green,59.82476982
Minus,Green,49.17150725
Minus,Green,44.44571022
Minus,Green,40.93619687
Minus,Green,70.33663556
Minus,Green,64.38176483
Minus,Green,59.82694704
Minus,Green,56.67366088
Minus,Green,42.52437248
Minus,Green,32.24348403
Minus,Green,60.72070731
Minus,Green,36.99290781
Minus,Green,65.80660474
Minus,Green,36.73303774
Minus,Green,64.08620801
Minus,Green,56.13038223
Minus,Green,38.73975608
Minus,Green,60.4501835
Minus,Green,57.30955915
Minus,Green,43.72844599
Minus,Green,52.89175938
Minus,Green,62.02286446
Minus,Green,56.84958577
Minus,Green,49.61502276
Minus,Green,50.06336228
Minus,Green,61.67020691
Minus,Green,29.29852737
Minus,Green,53.1288469
Minus,Green,63.40353181
Minus,Green,49.64244143
Off,Red,92.79643163
Off,Red,79.42505449
Off,Red,85.01284415
Off,Red,80.14082151
Off,Red,77.34143707
Off,Red,94.40368862
Off,Red,78.48847199
Off,Red,90.52367732
Off,Red,90.22954624
Off,Red,74.64016392
Off,Red,80.68471985
Off,Red,88.21165247
Off,Red,86.89997136
Off,Red,94.63404033
Off,Red,78.7307547
Off,Red,93.42477194
Off,Red,65.89205929
Off,Red,97.89042921
Off,Red,91.88611246
Off,Red,93.3233657
Off,Red,78.70532982
Off,Red,72.91054309
Off,Red,86.80341808
Off,Red,86.49160163
Off,Red,86.22863352
Off,Red,81.49647433
Off,Red,77.02768544
Off,Red,92.2961058
Off,Red,81.46352124
Off,Red,74.77736678
Off,Red,75.0332086
Off,Red,83.69674945
Off,Red,99.66300161
Off,Red,94.82042194
Off,Red,78.61407088
Off,Red,62.59045751
Off,Red,85.00210794
Off,Red,80.73299115
Off,Red,94.6425516
Off,Red,92.58226343
Off,Red,99.11991255
Off,Red,74.54906318
Off,Red,83.79965217
Off,Red,84.24189807
Off,Red,92.65517329
Off,Red,90.36315832
Off,Red,86.95841679
Off,Red,76.80203957
Off,Red,95.69796767
Off,Red,79.95474357
Off,Black,60.42212558
Off,Black,61.77423203
Off,Black,49.76849537
Off,Black,67.54871314
Off,Black,80.61129319
Off,Black,66.70156358
Off,Black,75.71847668
Off,Black,24.04229909
Off,Black,62.36470877
Off,Black,55.89185508
Off,Black,65.08876354
Off,Black,67.79778002
Off,Black,73.02734406
Off,Black,73.5199222
Off,Black,35.39581718
Off,Black,65.18834218
Off,Black,54.59545637
Off,Black,52.70482541
Off,Black,32.44324622
Off,Black,54.62572343
Off,Black,59.74918842
Off,Black,76.61325384
Off,Black,92.81040988
Off,Black,41.0887208
Off,Black,76.2753003
Off,Black,63.02752179
Off,Black,67.48125252
Off,Black,41.57647665
Off,Black,46.10862997
Off,Black,51.06214132
Off,Black,76.02519685
Off,Black,49.38465594
Off,Black,67.70133779
Off,Black,43.6978208
Off,Black,52.62977634
Off,Black,56.9631038
Off,Black,51.33678681
Off,Black,88.5261632
Off,Black,59.14209029
Off,Black,62.12742868
Off,Black,49.84479325
Off,Black,17.66098874
Off,Black,66.05846148
Off,Black,79.28287664
Off,Black,85.65073099
Off,Black,69.24150937
Off,Black,79.54642929
Off,Black,33.85924469
Off,Black,91.2462313
Off,Black,81.44045159
Off,Green,57.82880715
Off,Green,64.78013647
Off,Green,58.5093816
Off,Green,60.55017757
Off,Green,33.36373962
Off,Green,46.51740388
Off,Green,68.97558786
Off,Green,47.21371721
Off,Green,66.82414295
Off,Green,50.20878652
Off,Green,21.59597219
Off,Green,63.30708261
Off,Green,67.18059586
Off,Green,41.25994797
Off,Green,66.45115724
Off,Green,80.19564416
Off,Green,35.92658305
Off,Green,18.98644206
Off,Green,41.42372467
Off,Green,43.31677937
Off,Green,38.65711063
Off,Green,66.89426286
Off,Green,57.85306004
Off,Green,47.50090044
Off,Green,51.66652919
Off,Green,70.71861432
Off,Green,73.43987125
Off,Green,55.76502964
Off,Green,55.51411697
Off,Green,35.7665559
Off,Green,12.63674831
Off,Green,50.56760697
Off,Green,66.08499801
Off,Green,49.88868386
Off,Green,22.93609042
Off,Green,35.73345103
Off,Green,77.91041619
Off,Green,29.50674596
Off,Green,57.57756035
Off,Green,60.29645703
Off,Green,37.04794664
Off,Green,20.39722805
Off,Green,48.25978256
Off,Green,29.64319404
Off,Green,48.03070633
Off,Green,42.75126807
Off,Green,60.42434363
Off,Green,35.32755891
Off,Green,44.51161727
Off,Green,71.57423783
